Flare ID,Begin Time,Peak Time,End Time,Class Type,Source Location,Active Region,Instruments,Linked Events Activity ID
2015-03-12T04:41:00-FLR-001,2015-03-12T04:41Z,2015-03-12T04:46Z,2015-03-12T04:50Z,M3.2,S15E11,12297,GOES15: SEM/XRS 1.0-8.0,None
2015-03-12T11:38:00-FLR-001,2015-03-12T11:38Z,2015-03-12T11:50Z,2015-03-12T12:02Z,M1.6,S17E11,12297,GOES15: SEM/XRS 1.0-8.0,None
2015-03-12T12:09:00-FLR-001,2015-03-12T12:09Z,2015-03-12T12:14Z,2015-03-12T12:18Z,M1.4,S18E05,12297,GOES15: SEM/XRS 1.0-8.0,None
2015-03-12T13:50:00-FLR-001,2015-03-12T13:50Z,2015-03-12T14:08Z,2015-03-12T14:13Z,M4.2,S14E06,12297,GOES15: SEM/XRS 1.0-8.0,None
2015-03-12T21:44:00-FLR-001,2015-03-12T21:44Z,2015-03-12T21:51Z,2015-03-12T21:56Z,M2.7,S15E01,12297,GOES15: SEM/XRS 1.0-8.0,None
2015-03-13T03:47:00-FLR-001,2015-03-13T03:47Z,2015-03-13T04:01Z,2015-03-13T04:16Z,M1.2,S17E04,12297,GOES15: SEM/XRS 1.0-8.0,None
2015-03-13T05:49:00-FLR-001,2015-03-13T05:49Z,2015-03-13T06:07Z,2015-03-13T06:12Z,M1.8,S14W02,12297,GOES15: SEM/XRS 1.0-8.0,None
2015-03-14T04:23:00-FLR-001,2015-03-14T04:23Z,2015-03-14T04:40Z,2015-03-14T04:54Z,M1.3,S15W13,12297,GOES15: SEM/XRS 1.0-8.0,None
2015-03-15T01:15:00-FLR-001,2015-03-15T01:15Z,2015-03-15T02:13Z,2015-03-15T02:13Z,C9.1,S22W29,12297,GOES15: SEM/XRS 1.0-8.0;,2015-03-15T02:00:00-CME-001;2015-03-16T07:36:00-SEP-001;
2015-03-15T09:36:00-FLR-001,2015-03-15T09:36Z,2015-03-15T09:40Z,2015-03-15T09:46Z,M1.0,S18W24,12297,GOES15: SEM/XRS 1.0-8.0,None
2015-03-15T22:42:00-FLR-001,2015-03-15T22:42Z,2015-03-15T23:22Z,2015-03-15T23:38Z,M1.2,S19W32,12297,GOES15: SEM/XRS 1.0-8.0,None
2015-03-16T10:39:00-FLR-001,2015-03-16T10:39Z,2015-03-16T10:58Z,2015-03-16T11:17Z,M1.6,S17W38,12297,GOES15: SEM/XRS 1.0-8.0,None
2015-03-17T22:49:00-FLR-001,2015-03-17T22:49Z,2015-03-17T23:34Z,2015-03-17T23:48Z,M1.0,S17W64,12297,GOES15: SEM/XRS 1.0-8.0,2015-03-18T00:12:00-CME-001
2015-04-08T14:37:00-FLR-001,2015-04-08T14:37Z,2015-04-08T14:43Z,2015-04-08T14:47Z,M1.4,S13W4,12320,GOES15: SEM/XRS 1.0-8.0,None
2015-04-12T08:51:00-FLR-001,2015-04-12T08:51Z,2015-04-12T09:50Z,2015-04-12T10:44Z,M1.1,N11E78,12321,GOES15: SEM/XRS 1.0-8.0,2015-04-12T10:00:00-CME-001
2015-04-18T14:03:00-FLR-001,2015-04-18T14:03Z,2015-04-18T14:19Z,2015-04-18T14:39Z,C5.2,N11W24,12321,GOES15: SEM/XRS 1.0-8.0,2015-04-18T15:12:00-CME-001
2015-04-21T07:08:00-FLR-001,2015-04-21T07:08Z,2015-04-21T07:21Z,2015-04-21T07:27Z,M1.0,N09W80,12322,GOES15: SEM/XRS 1.0-8.0,None
2015-04-21T10:17:00-FLR-001,2015-04-21T10:17Z,2015-04-21T10:40Z,2015-04-21T10:59Z,M2.2,N16E80,,GOES15: SEM/XRS 1.0-8.0,2015-04-21T10:36:00-CME-001
2015-04-21T11:49:00-FLR-001,2015-04-21T11:49Z,2015-04-21T11:57Z,2015-04-21T12:02Z,M2.2,N09W84,12322,GOES15: SEM/XRS 1.0-8.0,None
2015-04-21T15:24:00-FLR-001,2015-04-21T15:24Z,2015-04-21T15:45Z,2015-04-21T15:51Z,M4.0,N10W80,12322,GOES15: SEM/XRS 1.0-8.0,None
2015-04-21T16:55:00-FLR-001,2015-04-21T16:55Z,2015-04-21T17:00Z,2015-04-21T17:09Z,M2.1,N10W80,12322,GOES15: SEM/XRS 1.0-8.0,None
2015-04-21T21:39:00-FLR-001,2015-04-21T21:39Z,2015-04-21T21:45Z,2015-04-21T21:55Z,M1.8,N10W80,12322,GOES15: SEM/XRS 1.0-8.0,None
2015-04-21T21:58:00-FLR-001,2015-04-21T21:58Z,2015-04-21T22:01Z,2015-04-21T22:04Z,M1.2,N09W80,12322,GOES15: SEM/XRS 1.0-8.0,None
2015-04-22T08:30:00-FLR-001,2015-04-22T08:30Z,2015-04-22T08:44Z,2015-04-22T08:58Z,M1.1,N11W91,12322,GOES15: SEM/XRS 1.0-8.0,None
2015-04-23T09:18:00-FLR-001,2015-04-23T09:18Z,2015-04-23T10:07Z,2015-04-23T10:07Z,M1.1,N07W80,12321,GOES15: SEM/XRS 1.0-8.0,2015-04-23T09:36:00-CME-001
2015-05-05T09:42:00-FLR-001,2015-05-05T09:42Z,2015-05-05T09:47Z,2015-05-05T09:51Z,M1.9,N14E82,12339,GOES15: SEM/XRS 1.0-8.0,None
2015-05-05T13:45:00-FLR-001,2015-05-05T13:45Z,2015-05-05T13:53Z,2015-05-05T13:56Z,M1.2,N14E82,12339,GOES15: SEM/XRS 1.0-8.0,None
2015-05-05T14:19:00-FLR-001,2015-05-05T14:19Z,2015-05-05T14:25Z,2015-05-05T14:32Z,M1.3,S16E17,12335,GOES15: SEM/XRS 1.0-8.0,None
2015-05-05T17:12:00-FLR-001,2015-05-05T17:12Z,2015-05-05T17:24Z,2015-05-05T17:30Z,M2.6,S16E15,12335,GOES15: SEM/XRS 1.0-8.0,None
2015-05-05T22:05:00-FLR-001,2015-05-05T22:05Z,2015-05-05T22:11Z,2015-05-05T22:15Z,X2.7,N15E79,12339,GOES15: SEM/XRS 1.0-8.0,2015-05-05T22:24:00-CME-001
2015-05-06T11:45:00-FLR-001,2015-05-06T11:45Z,2015-05-06T11:49Z,2015-05-06T11:51Z,M1.9,N12E63,12339,GOES15: SEM/XRS 1.0-8.0,None
2015-05-12T02:15:00-FLR-001,2015-05-12T02:15Z,2015-05-12T03:22Z,2015-05-12T03:42Z,C2.6,S21W83,12335,GOES15: SEM/XRS 1.0-8.0,2015-05-12T02:48:00-CME-001
2015-05-13T18:09:00-FLR-001,2015-05-13T18:09Z,2015-05-13T18:18Z,2015-05-13T18:38Z,C9.2,N12W17,12345,GOES15: SEM/XRS 1.0-8.0,2015-05-13T18:48:00-CME-001
2015-06-09T03:40:00-FLR-001,2015-06-09T03:40Z,2015-06-09T03:53Z,2015-06-09T04:09Z,C5.8,N13W18,12360,GOES15: SEM/XRS 1.0-8.0,None
2015-06-09T19:55:00-FLR-001,2015-06-09T19:55Z,2015-06-09T20:06Z,2015-06-09T20:20Z,C2.8,S07E22,12364,GOES15: SEM/XRS 1.0-8.0,2015-06-09T20:00:00-CME-001
2015-06-11T08:50:00-FLR-001,2015-06-11T08:50Z,2015-06-11T08:55Z,2015-06-11T09:00Z,M1.0,S19E83,,GOES15: SEM/XRS 1.0-8.0,None
2015-06-13T07:20:00-FLR-001,2015-06-13T07:20Z,2015-06-13T07:29Z,2015-06-13T07:47Z,M1.3,N14W76,12360,GOES15: SEM/XRS 1.0-8.0,None
2015-06-14T00:52:00-FLR-001,2015-06-14T00:52Z,2015-06-14T00:59Z,2015-06-14T01:09Z,M2.0,N14W81,12360,GOES15: SEM/XRS 1.0-8.0,None
2015-06-18T00:34:00-FLR-001,2015-06-18T00:34Z,2015-06-18T01:27Z,2015-06-18T01:55Z,M1.2,S13W90,12365,GOES15: SEM/XRS 1.0-8.0;,2015-06-18T09:25:00-SEP-001;2015-06-18T15:30:00-SEP-001;
2015-06-18T16:33:00-FLR-001,2015-06-18T16:33Z,2015-06-18T17:36Z,2015-06-18T18:25Z,M3.0,N15E45,12371,GOES15: SEM/XRS 1.0-8.0,2015-06-18T17:24:00-CME-001
2015-06-20T06:28:00-FLR-001,2015-06-20T06:28Z,2016-06-20T06:48Z,2015-06-20T07:09Z,M1.0,N13E28,12371,GOES15: SEM/XRS 1.0-8.0,None
2015-06-21T01:02:00-FLR-001,2015-06-21T01:02Z,2015-06-21T01:42Z,2015-06-21T02:00Z,M2.0,N13E12,12371,GOES15: SEM/XRS 1.0-8.0;,2015-06-21T02:48:00-CME-001;2015-06-21T20:35:00-SEP-001;
2015-06-21T02:06:00-FLR-001,2015-06-21T02:06Z,2015-06-21T02:36Z,2015-06-21T03:02Z,M2.6,N13E12,12371,GOES15: SEM/XRS 1.0-8.0;,2015-06-21T02:48:00-CME-001;2015-06-21T20:35:00-SEP-001;
2015-06-21T09:38:00-FLR-001,2015-06-21T09:38Z,2015-06-21T09:44Z,2015-06-21T09:50Z,M3.8,S20W50,12367,GOES15: SEM/XRS 1.0-8.0,2015-06-21T20:35:00-SEP-001
2015-06-21T18:10:00-FLR-001,2015-06-21T18:10Z,2015-06-21T18:20Z,2015-06-21T18:28Z,M1.1,S20W50,12367,GOES15: SEM/XRS 1.0-8.0,2015-06-21T20:35:00-SEP-001
2015-06-22T17:39:00-FLR-001,2015-06-22T17:39Z,2015-06-22T18:23Z,2015-06-22T18:51Z,M6.5,N13W05,12371,GOES15: SEM/XRS 1.0-8.0,2015-06-22T18:36:00-CME-001
2015-06-24T15:14:00-FLR-001,2015-06-24T15:14Z,2015-06-24T15:29Z,2015-06-24T16:20Z,C5.6,N12W35,12371,GOES15: SEM/XRS 1.0-8.0,None
2015-06-25T08:02:00-FLR-001,2015-06-25T08:02Z,2015-06-25T08:16Z,2015-06-25T09:05Z,M7.9,N13W40,12371,GOES15: SEM/XRS 1.0-8.0;,2015-06-25T08:36:00-CME-001;2015-06-25T18:00:00-SEP-001;2015-06-26T01:20:00-SEP-001;
