SEP ID,Event Time,Instruments,Linked Events Activity ID
2012-03-24T01:17:00-SEP-001,2012-03-24T01:17Z,STEREO A: IMPACT 13-100 MeV,2012-03-24T00:39:00-CME-001
2012-03-27T01:05:00-SEP-001,2012-03-27T01:05Z,STEREO B: IMPACT 13-100 MeV,2012-03-26T23:12:00-CME-001
2012-05-17T02:10:00-SEP-001,2012-05-17T02:10Z,GOES13: SEM/EPS >10 MeV,2012-05-17T00:30:00-FLR-001
2012-05-26T22:50:00-SEP-001,2012-05-26T22:50Z,STEREO A: IMPACT 13-100 MeV,2012-05-26T22:54:00-CME-001
2012-05-27T05:05:00-SEP-001,2012-05-27T05:05Z,GOES13: SEM/EPS >10 MeV,2012-05-26T22:54:00-CME-001
2012-06-16T18:45:00-SEP-001,2012-06-16T18:45Z,GOES13: SEM/EPS >10 MeV,2012-06-14T14:09:00-CME-001
2012-07-07T04:00:00-SEP-001,2012-07-07T04:00Z,GOES13: SEM/EPS >10 MeV,2012-07-06T23:01:00-FLR-001
2012-07-09T01:20:00-SEP-001,2012-07-09T01:20Z,GOES13: SEM/EPS >10 MeV,2012-07-08T16:23:00-FLR-001
2012-07-12T17:50:00-SEP-001,2012-07-12T17:50Z,SOHO: COSTEP 15.8-39.8 MeV;,2012-07-12T15:37:00-FLR-001;2012-07-12T16:54:00-CME-001;2012-07-12T18:18:00-SEP-001;2012-07-12T18:35:00-SEP-001;
2012-07-12T18:18:00-SEP-001,2012-07-12T18:18Z,STEREO B: IMPACT 13-100 MeV;,2012-07-12T15:37:00-FLR-001;2012-07-12T16:54:00-CME-001;2012-07-12T17:50:00-SEP-001;2012-07-12T18:35:00-SEP-001;
2012-07-12T18:35:00-SEP-001,2012-07-12T18:35Z,GOES13: SEM/EPS >10 MeV;,2012-07-12T15:37:00-FLR-001;2012-07-12T16:54:00-CME-001;2012-07-12T17:50:00-SEP-001;2012-07-12T18:18:00-SEP-001;
2012-07-17T16:30:00-SEP-001,2012-07-17T16:30Z,SOHO: COSTEP 15.8-39.8 MeV,2012-07-17T12:03:00-FLR-001
